#,subsection,name,original_definition,display_definition,type,what_do_do,default,valid_values,importance
1,How should we connect to your data?,name,Sets a name for your connector.,Sets a name for your stream processor.,string,REQUIRE,,A string at most 64 characters long,high
2,Kafka Cluster credentials,kafka.auth.mode,Kafka Authentication mode. It can be one of KAFKA_API_KEY or SERVICE_ACCOUNT. It defaults to KAFKA_API_KEY mode.,,string,ALLOW default,KAFKA_API_KEY,"KAFKA_API_KEY, SERVICE_ACCOUNT",high
3,Kafka Cluster credentials,kafka.api.key,Kafka API Key. Required when kafka.auth.mode==KAFKA_API_KEY.,Kafka API Key.  Required to connect to your Kafka cluster.,password,REQUIRE,,,high
4,Kafka Cluster credentials,kafka.service.account.id,The Service Account that will be used to generate the API keys to communicate with Kafka Cluster.,,string,DISALLOW,,,high
5,Kafka Cluster credentials,kafka.api.secret,Secret associated with Kafka API key. Required when kafka.auth.mode==KAFKA_API_KEY.,Secret associated with Kafka API key.,password,REQUIRE,,,high
6,Schema Config,schema.context.name,"Add a schema context name. A schema context represents an independent scope in Schema Registry. It is a separate sub-schema tied to topics in different Kafka clusters that share the same Schema Registry instance. If not used, the connector uses the default schema configured for Schema Registry in your Confluent Cloud environment.",,string,DISALLOW,default,,medium
9,How should we connect to your MongoDB Atlas database?,connection.host,MongoDB Atlas connection host (e.g. confluent-test.mycluster.mongodb.net).,,string,IGNORE,,,high
10,How should we connect to your MongoDB Atlas database?,connection.user,MongoDB Atlas connection user.,MongoDB Atlas connection user.,string,REQUIRE,,,high
11,How should we connect to your MongoDB Atlas database?,connection.password,MongoDB Atlas connection password.,MongoDB Atlas connection password.,password,REQUIRE,,,high
12,How should we connect to your MongoDB Atlas database?,database,"MongoDB Atlas database name. If not set, all databases in the cluster are watched.","MongoDB Atlas database name. If not set, all databases in the cluster are watched.",string,REQUIRE,,,high
13,Database details,collection,"Single MongoDB Atlas collection to watch. If not set, all collections in the specified database are watched.","Single MongoDB Atlas collection to watch. If not set, all collections in the specified database are watched.",string,ALLOW,,,medium
40,Error handling,mongo.errors.tolerance,Use this property if you would like to configure the connector's error handling behavior differently from the Connect framework's.,,string,IGNORE,NONE,,medium
42,Server API,server.api.version,The server API version to use. Disabled by default.,,string,IGNORE,,,low
43,Server API,server.api.deprecation.errors,Sets whether the connector requires use of deprecated server APIs to be reported as errors.,,boolean,IGNORE,FALSE,,low
44,Server API,server.api.strict,Sets whether the application requires strict server API version enforcement.,,boolean,IGNORE,FALSE,,low
45,Number of tasks for this connector,tasks.max,Maximum number of tasks for the connector.,,int,IGNORE,,"[1,…,1]",high
46,Additional Configs,header.converter,The converter class for the headers. This is used to serialize and deserialize the headers of the messages.,,string,DISALLOW,,,low
49,Additional Configs,value.converter.allow.optional.map.keys,Allow optional string map key when converting from Connect Schema to Avro Schema. Applicable for Avro Converters.,,boolean,IGNORE,,,low
50,Additional Configs,value.converter.auto.register.schemas,Specify if the Serializer should attempt to register the Schema.,,boolean,IGNORE,,,low
51,Additional Configs,value.converter.connect.meta.data,Allow the Connect converter to add its metadata to the output schema. Applicable for Avro Converters.,,boolean,IGNORE,,,low
52,Additional Configs,value.converter.enhanced.avro.schema.support,Enable enhanced schema support to preserve package information and Enums. Applicable for Avro Converters.,,boolean,IGNORE,,,low
53,Additional Configs,value.converter.enhanced.protobuf.schema.support,Enable enhanced schema support to preserve package information. Applicable for Protobuf Converters.,,boolean,IGNORE,,,low
54,Additional Configs,value.converter.flatten.unions,Whether to flatten unions (oneofs). Applicable for Protobuf Converters.,,boolean,IGNORE,,,low
55,Additional Configs,value.converter.generate.index.for.unions,Whether to generate an index suffix for unions. Applicable for Protobuf Converters.,,boolean,IGNORE,,,low
56,Additional Configs,value.converter.generate.struct.for.nulls,Whether to generate a struct variable for null values. Applicable for Protobuf Converters.,,boolean,IGNORE,,,low
57,Additional Configs,value.converter.int.for.enums,Whether to represent enums as integers. Applicable for Protobuf Converters.,,boolean,IGNORE,,,low
58,Additional Configs,value.converter.latest.compatibility.strict,Verify latest subject version is backward compatible when use.latest.version is true.,,boolean,IGNORE,,,low
59,Additional Configs,value.converter.object.additional.properties,Whether to allow additional properties for object schemas. Applicable for JSON_SR Converters.,,boolean,IGNORE,,,low
60,Additional Configs,value.converter.optional.for.nullables,Whether nullable fields should be specified with an optional label. Applicable for Protobuf Converters.,,boolean,IGNORE,,,low
61,Additional Configs,value.converter.optional.for.proto2,Whether proto2 optionals are supported. Applicable for Protobuf Converters.,,boolean,IGNORE,,,low
62,Additional Configs,value.converter.scrub.invalid.names,Whether to scrub invalid names by replacing invalid characters with valid characters. Applicable for Avro and Protobuf Converters.,,boolean,IGNORE,,,low
63,Additional Configs,value.converter.use.latest.version,Use latest version of schema in subject for serialization when auto.register.schemas is false.,,boolean,DISALLOW,,,low
