#,subsection,name,definition,display_definition,what to do,type,default,valid_values,importance,
49,Consumer configuration,max.poll.interval.ms,"The maximum delay between subsequent consume requests to Kafka. This configuration property may be used to improve the performance of the connector, if the connector cannot send records to the sink system. Defaults to 300000 milliseconds (5 minutes).","The maximum delay between subsequent consume requests to Kafka. This configuration property may be used to improve the performance of the connector, if the connector cannot send records to the sink system. Defaults to 1000 milliseconds (1 second).",ALLOW,long,1000,"[60000,…,1800000] for non-dedicated clusters and [60000,…] for dedicated clusters",low,
3,Input messages,input.data.format,"Sets the input Kafka record value format. Valid entries are AVRO, JSON_SR, PROTOBUF, JSON, STRING or BSON. Note that you need to have Confluent Cloud Schema Registry configured if using a schema-based message format like AVRO, JSON_SR, and PROTOBUF.",,ALLOW default,string,JSON,,high,
4,Input messages,input.key.format,"Sets the input Kafka record key format. Valid entries are AVRO, BYTES, JSON, JSON_SR, PROTOBUF, or STRING. Note that you need to have Confluent Cloud Schema Registry configured if using a schema-based message format like AVRO, JSON_SR, and PROTOBUF",,ALLOW default,string,STRING,"AVRO, BYTES, JSON, JSON_SR, PROTOBUF, STRING",high,
5,Input messages,cdc.handler,"The class name of the CDC handler to use for processing. You can capture CDC events with the MongoDB Kafka sink connector and perform corresponding insert, update, and delete operations to a destination MongoDB cluster.",,ALLOW default,string,None,"None , MongoDbChangeStreamHandler , DebeziumMongoDbHandler , DebeziumMySqlHandler , DebeziumPostgresHandler , or QlikRdbmsHandler",low,
6,Writes,delete.on.null.values,Whether or not the connector should try to delete documents based on key when value is null.,,ALLOW default,boolean,FALSE,,low,
11,Writes,write.strategy,The class that specifies the WriteModel to use for bulk writes.,,ALLOW default,string,DefaultWriteModelStrategy,"DefaultWriteModelStrategy , ReplaceOneDefaultStrategy , InsertOneDefaultStrategy , ReplaceOneBusinessKeyStrategy , DeleteOneDefaultStrategy , UpdateOneTimestampsStrategy , UpdateOneBusinessKeyTimestampStrategy , or UpdateOneDefaultStrategy . If not used, this property defaults to DefaultWriteModelStrategy . For time-series collections, the DefaultWriteModelStrategy will internally default to InsertOneDefaultStrategy . For normal collections, it defaults to ReplaceOneDefaultStrategy .",low,
23,ID strategies,doc.id.strategy,The IdStrategy class name to use for generating a unique document id (_id).,,ALLOW default,string,BsonOidStrategy,"BsonOidStrategy , KafkaMetaDataStrategy , FullKeyStrategy , PartialKeyStrategy , PartialValueStrategy , ProvidedInKeyStrategy , ProvidedInValueStrategy , or UuidStrategy . To delete the document when the value is null, you must set the strategy to FullKeyStrategy , PartialKeyStrategy , or ProvidedInKeyStrategy",low,
24,ID strategies,doc.id.strategy.overwrite.existing,Whether the connector should overwrite existing values in the _id field when the strategy defined in doc.id.strategy is applied.,,ALLOW default,boolean,FALSE,,low,
25,ID strategies,document.id.strategy.uuid.format,The bson output format when using the UuidStrategy. Can be either String or Binary.,,ALLOW default,string,string,,low,
52,Additional Configs,consumer.override.auto.offset.reset,"Defines the behavior of the consumer when there is no committed position (which occurs when the group is first initialized) or when an offset is out of range. You can choose either to reset the position to the ""earliest"" offset or the ""latest"" offset (the default). You can also select ""none"" if you would rather set the initial offset yourself and you are willing to handle out of range errors manually. More details: https://docs.confluent.io/platform/current/installation/configuration/consumer-configs.html#auto-offset-reset","Defines the behavior of the consumer when there is no committed position (which occurs when the group is first initialized) or when an offset is out of range. You can choose either to reset the position to the ""earliest"" offset or the ""latest"" offset (the default).","ALLOW earliest, latest",string,,latest,low,
17,Which topics do you want to get data from?,errors.deadletterqueue.topic.name,"The name of the topic to be used as the dead letter queue (DLQ) for messages that result in an error when processed by this sink connector, or its transformations or converters. Defaults to 'dlq-${connector}' if not set. The DLQ topic will be created automatically if it does not exist. You can provide ${connector} in the value to use it as a placeholder for the logical cluster ID.",,DISALLOW,string,dlq-${connector},,low,
